record_date,t_max,t_min,weather_type,wind_direction,wind_level
2016-06-27,22,19,小到中雨~雷阵雨,东北风,3-4级
2016-06-28,25,21,小到中雨~大雨,西南风,3-4级
2016-06-29,28,22,阴~多云,东南风,3-4级
2016-06-30,33,25,多云~雷阵雨,东南风,3-4级
2016-07-01,26,23,大到暴雨,东南风,3-4级
2016-07-02,26,22,中到大雨~暴雨,东南风,3-4级
2016-07-03,25,22,暴雨~大雨,东南风,3-4级
2016-07-04,27,22,中雨~大雨,东南风,3-4级
2016-07-05,28,23,雷阵雨,,3-4级
2016-07-06,28,25,中雨~小雨,,3-4级
2016-07-07,30,24,雷阵雨~多云,,3-4级
2016-07-08,32,24,阴~多云,,3-4级
2016-07-09,31,24,多云~阴,,3-4级
2016-07-10,28,24,雷阵雨~中雨,,3-4级
2016-07-11,29,24,阵雨~阴,,3-4级
2016-07-12,32,26,多云~阴,东北风,3-4级
2016-07-13,32,26,中雨~雷阵雨,西南风,3-4级
2016-07-14,29,26,中雨转雷阵雨,东风,3-4级
2016-07-15,33,22,中到大雨转小雨,西风,3-4级
2016-07-16,29,22,多云,东南风,3-4级
2016-07-17,32,24,多云转雷阵雨,东南风,3-4级
2016-07-18,32,26,阴,东风,3-4级
2016-07-19,32,26,雷阵雨,南风,3-4级
2016-07-20,36,28,晴,南风,3-4级
2016-07-21,37,29,多云,西风,3-4级
2016-07-22,37,29,晴,南风,3-4级
2016-07-23,38,30,晴,西南风,3-4级
2016-07-24,38,30,晴,西南风,3-4级
2016-07-25,38,29,晴,东南风,3-4级
2016-07-26,39,30,晴,东南风,3-4级
2016-07-27,38,30,多云,北风,3-4级
2016-07-28,38,29,晴,西南风,3-4级
2016-07-29,38,30,晴,东南风,3-4级
2016-07-30,37,28,晴,东风,3-4级
2016-07-31,36,27,多云,东南风,3-4级
2016-08-01,35,27,晴,东南风,2级
2016-08-02,35,27,雷阵雨,东南风,3级
2016-08-03,32,25,雷阵雨,西北风,1级
2016-08-04,33,26,雷阵雨,东南风,1级
2016-08-05,33,26,雷阵雨,东风,2级
2016-08-06,33,26,雷阵雨,东南风,2级
2016-08-07,34,26,多云,东风,2级
2016-08-08,35,26,雷阵雨,东风,3级
2016-08-09,34,27,多云,东风,3级
2016-08-10,33,27,阵雨,东风,3级
2016-08-11,35,27,多云,东风,2级
2016-08-12,35,27,多云,东风,3级
2016-08-13,36,28,多云,东风,3级
2016-08-14,35,27,晴,东风,2级
2016-08-15,35,27,晴,东风,3级
2016-08-16,34,26,多云,东风,2级
2016-08-17,34,26,多云,东北风,3级
2016-08-18,35,28,晴,东风,2级
2016-08-19,36,28,晴,东风,2级
2016-08-20,36,27,雷阵雨,东南风,微风
2016-08-21,31,26,雷阵雨,东南风,1级
2016-08-22,34,27,多云,东北风,2级
2016-08-23,34,24,多云,东北风,2级
2016-08-24,33,23,晴,东风,2级
2016-08-25,34,25,多云,北风,1级
2016-08-26,28,23,阵雨,北风,2级
2016-08-27,29,20,多云,北风,3级
2016-08-28,30,19,晴,北风,1级
2016-08-29,30,21,晴,西北风,2级
2016-08-30,30,21,晴,西北风,1级
2016-08-31,31,22,多云,西南风,2级
2016-09-01,33,23,多云,南风,2级
2016-09-02,34,22,晴,东风,1级
2016-09-03,34,23,晴,东北风,1级
2016-09-04,31,22,多云,东南风,2级
2016-09-05,32,23,多云,东风,1级
2016-09-06,27,21,阵雨,西南风,1级
2016-09-07,27,20,阵雨,东南风,2级
2016-09-08,30,21,多云,东南风,1级
2016-09-09,33,23,多云,东风,1级
2016-09-10,30,21,阴,东南风,2级
2016-09-11,28,20,多云,东南风,1级
2016-09-12,30,20,多云,东风,2级
2016-09-13,31,21,多云,东风,2级
2016-09-14,29,22,多云,东北风,1级
2016-09-15,24,21,大雨,东风,2级
2016-09-16,24,22,大到暴雨,北风,3级
2016-09-17,27,21,多云,东北风,2级
2016-09-18,28,20,多云,北风,3级
2016-09-19,26,18,多云,北风,2级
2016-09-20,25,17,多云,西北风,1级
2016-09-21,24,17,阴,东风,2级
2016-09-22,27,18,多云,东北风,2级
2016-09-23,27,19,多云,东风,2级
2016-09-24,28,20,多云,东风,2级
2016-09-25,28,21,多云,东风,2级
2016-09-26,29,22,多云,东风,2级
2016-09-27,30,23,阵雨,东北风,4级
2016-09-28,24,19,小到中雨,东北风,4级
2016-09-29,21,17,中雨,北风,3级
2016-09-30,22,19,中雨,东北风,3级
